央视频道,#genre#
辽宁卫视,http://112.234.23.155:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0#http://115.48.63.9:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0#http://117.27.190.42:9998/tsfile/live/23253_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.241.247.214:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.136.172.236:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-liaoning
重庆卫视,http://112.234.23.155:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0#http://115.48.63.9:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0#http://117.27.190.42:9998/tsfile/live/23254_1.m3u8?key=txiptv&playlive=1&authid=0#http://123.129.70.178:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.241.247.214:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.136.172.236:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-chongqing
陕西卫视,http://115.48.63.9:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0#http://58.216.229.130:9901/tsfile/live/0120_7.m3u8?key=txiptv&playlive=1&authid=0,cntv-shan3xi
青海卫视,http://117.27.190.42:9998/tsfile/live/23255_1.m3u8?key=txiptv&playlive=1&authid=0#http://59.173.183.242:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-qinghai
黑龙江卫视,http://115.48.63.9:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0#http://117.27.190.42:9998/tsfile/live/23256_1.m3u8?key=txiptv&playlive=1&authid=0#http://58.216.229.130:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0#http://59.173.183.242:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.136.172.236:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-heilongjiang
三沙卫视,http://117.27.190.42:9998/tsfile/live/23250_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL

其他频道,#genre#
IPTV3,http://115.48.63.9:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
IPTV5,http://115.48.63.9:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
IPTV6,http://115.48.63.9:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
IPTV8,http://115.48.63.9:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
三明综合,http://117.27.190.42:9998/tsfile/live/23298_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
上海教育,http://61.173.144.157:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
上海纪实,http://61.173.144.157:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
临沂农科,http://112.234.23.155:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
临沂图文,http://112.234.23.155:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
兰陵导视,http://112.234.23.155:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
凤凰资讯,http://117.27.190.42:9998/tsfile/live/23279_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
北京卡通,http://115.48.63.9:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
南平综合,http://117.27.190.42:9998/tsfile/live/23295_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
嘉佳卡通,http://115.48.63.9:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
安徽公共,http://223.241.247.214:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
